Date,BTC Open,BTC Close,ETH Open,ETH Close,LTC Open,LTC Close,XRP Open,XRP Close,USDT Open,USDT Close
8/23/2018,6432.6,6534.52,271.96,278.8,55.58,57.65,0.322,0.3273,0.9983,0.9968
8/22/2018,6480.25,6432.6,280,271.96,56.27,55.58,0.3349,0.322,0.9986,0.9983
8/21/2018,6325.1,6480.25,275.94,280,54.61,56.27,0.32,0.3349,0.9985,0.9986
8/20/2018,6500,6325.1,300.42,275.94,57.87,54.61,0.3434,0.32,0.9998,0.9985
8/19/2018,6408.4,6500,295.11,300.42,57.13,57.87,0.3284,0.3434,0.9988,0.9998
8/18/2018,6546.28,6408.4,316,295.11,61.3,57.13,0.365,0.3284,0.9985,0.9988
8/17/2018,6300,6546.28,285.09,316,55.14,61.3,0.2912,0.365,0.9986,0.9985
8/16/2018,6263.47,6300,279.88,285.09,54.15,55.14,0.2788,0.2912,0.9999,0.9986
8/15/2018,6253,6263.47,281.4,279.88,54.91,54.15,0.2768,0.2788,0.999,0.9999
8/14/2018,6367.17,6253,289.72,281.4,57.46,54.91,0.2786,0.2768,0.9993,0.999
8/13/2018,6390.96,6367.17,322.95,289.72,59.95,57.46,0.2986,0.2786,0.9988,0.9993
8/12/2018,6195.86,6195.86,317.65,317.65,56.79,56.79,0.2994,0.2994,0.9999,0.9988
8/11/2018,6198.22,6195.86,336.55,317.65,59.36,56.79,0.3215,0.2994,0.9988,0.9999
8/10/2018,6578.9,6198.22,365.36,336.55,63.5,59.36,0.3448,0.3215,0.9991,0.9988
8/9/2018,6314.1,6578.9,358.2,365.36,62.85,63.5,0.3335,0.3448,0.9996,0.9991
8/8/2018,6757.2,6314.1,380.43,358.2,67.96,62.85,0.38,0.3335,1.0003,0.9996
8/7/2018,6931,6757.2,404.19,380.43,73.55,67.96,0.4144,0.38,1.002,1.0003
8/6/2018,7053.07,6931,411.16,404.19,74.71,73.55,0.4345,0.4144,0.9999,1.002
8/5/2018,7056.03,7053.07,407.9,411.16,73.44,74.71,0.4317,0.4345,0.9993,0.9999
8/4/2018,7416.74,7056.03,415.32,407.9,77.23,73.44,0.44,0.4317,1.001,0.9993
8/3/2018,7567.16,7416.74,412.04,415.32,76.85,77.23,0.4349,0.44,1.0013,1.001
8/2/2018,7610,7567.16,422.67,412.04,77.88,76.85,0.4482,0.4349,0.9999,1.0013
8/1/2018,7759.68,7610,435.4,422.67,79.14,77.88,0.4358,0.4482,0.9994,0.9999
7/31/2018,8183.43,7759.68,457.74,435.4,82.27,79.14,0.4464,0.4358,1,0.9994
7/30/2018,8180,8183.43,464.41,457.74,83.67,82.27,0.4517,0.4464,0.9998,1
7/29/2018,8209,8180,465,464.41,83.47,83.67,0.4536,0.4517,0.9988,0.9998
7/28/2018,8141.41,8209,469.11,465,84.17,83.47,0.454,0.4536,0.9999,0.9988
